ticker,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda
SPWH,2020-05-02,USD,662329000,343025000,22090000,None,None,None,None,95924000,95633000,None,None,1496000,None,None,None,None,None,553144000,314391000,86111000,None,None,None,238753000,None,None,None,23760000,None,None,None,109185000,None,21899000,436000,43551000,31281000,14831000,None,52735000,25245000,5417000,4833000,-323000,23298000,-1130000,-5857000,-5019000,-330000,None,None,None,None,None,None,None,None,None,None,None,20405000,None,-1130000,74774000,246835000,172061000,None,-445000,75219000,None,76029000,None,-1534000,None,1534000,None,None,5326000,7000,-1979000,-849000,1534000,-1130000,-1130000,-445000,-438000
SPWH,2020-02-01,USD,616641000,291638000,1685000,1685000,275505000,1716000,325003000,98767000,90654000,1716000,220000,1496000,None,None,None,None,None,506373000,264776000,38157000,25705000,172328000,15827000,241597000,None,122014000,122014000,23781000,137841000,None,None,110268000,None,23029000,433000,43296000,20019000,19473000,None,-52236000,-60369000,5317000,7458000,284000,-62389000,9683000,-7387000,-12684000,-12913000,None,None,None,None,None,None,None,None,None,None,None,24345000,None,2246000,85028000,24345000,173124000,None,13185000,71843000,None,71849000,None,-1443000,None,1443000,None,None,5224000,6000,4305000,2059000,1443000,24345000,-10532000,5748000,5754000
SPWH,2019-11-02,USD,673012000,351313000,1737000,None,None,None,None,107627000,90087000,None,None,1749000,None,None,None,None,None,573193000,346724000,105527000,None,None,None,226469000,None,None,None,21781000,None,None,None,99819000,None,13346000,432000,43230000,22413000,14743000,None,32819000,30282000,21000,8153000,381000,29432000,10493000,-27227000,5076000,7076000,None,None,None,None,None,None,None,None,None,None,None,10493000,None,10493000,84210000,242466000,158256000,None,15874000,68336000,None,68336000,None,-2094000,None,2094000,None,None,4825000,7000,13780000,3287000,2094000,10493000,10493000,15874000,15881000
SPWH,2019-08-03,USD,584461000,302758000,1475000,None,None,None,None,97984000,85261000,None,None,None,None,None,None,None,None,495754000,290465000,64891000,None,None,None,205289000,None,None,None,23760000,None,None,None,88707000,None,2853000,432000,43230000,31991000,16845000,None,20814000,-1050000,21000,11359000,-50000,-2152000,5498000,-11359000,-20872000,-19046000,None,None,None,None,None,None,None,None,None,None,None,5498000,None,5498000,73222000,211766000,138544000,None,9762000,63460000,None,63460000,None,-2353000,None,2353000,None,None,4639000,6000,7409000,1911000,2353000,5498000,5498000,9762000,9768000
SPWH,2019-05-04,USD,584348000,303629000,1715000,None,None,None,None,91049000,80640000,None,None,None,None,None,None,None,None,501808000,287964000,49982000,None,None,None,213844000,None,None,7915000,25739000,None,None,None,82540000,None,None,432000,43174000,3443000,13889000,None,20086000,13116000,4697000,3402000,40000,14862000,-5459000,-3091000,-184000,2185000,None,None,None,None,None,None,None,None,None,None,None,168000,None,-5459000,54173000,174017000,119844000,None,-5357000,59530000,None,59226000,None,-2105000,None,2105000,None,None,4606000,7000,-7462000,-2003000,2105000,-5459000,-5459000,-5357000,-5350000
SPWH,2019-02-02,USD,388897000,293570000,1547000,None,None,None,None,92084000,76052000,None,None,None,None,None,None,None,None,310237000,240666000,24953000,None,None,None,69571000,None,None,7915000,27717000,None,None,None,78660000,None,None,430000,42978000,46594000,4307000,None,-61468000,-89483000,4734000,2753000,-170000,-92457000,10629000,-2753000,-44186000,-42331000,None,None,None,None,None,None,None,None,None,None,None,-345000,None,10629000,79505000,242682000,163177000,None,16968000,62537000,None,62543000,None,-2682000,None,2682000,None,None,4644000,6000,14286000,3657000,2682000,10629000,-13121000,16968000,16974000
SPWH,2018-11-03,USD,480119000,385077000,1892000,None,None,None,None,93273000,71423000,None,None,None,None,None,None,None,None,412629000,341689000,91511000,None,None,None,70940000,None,None,7915000,29696000,None,None,None,67490000,None,None,429000,42938000,-3237000,3488000,None,17729000,40411000,21000,4857000,31000,39989000,12399000,-2914000,5309000,7309000,None,None,None,None,None,None,None,None,None,None,None,12398000,None,12398000,77581000,223099000,145518000,None,17511000,60070000,None,60070000,None,-2633000,None,2633000,None,None,4430000,7000,14878000,2480000,2633000,12398000,12398000,17511000,17518000
SPWH,2018-08-04,USD,446182000,346742000,2734000,None,None,None,None,95849000,67016000,None,None,None,None,None,None,None,None,391472000,318855000,74271000,None,None,None,72617000,None,39590000,7915000,31675000,None,None,None,54712000,None,None,429000,42938000,-2135000,9402000,None,11621000,24599000,1018000,6111000,6000,22867000,6550000,-6111000,8601000,104457000,None,None,None,None,None,None,None,None,None,None,None,6551000,None,6551000,72277000,203288000,131011000,None,13189000,59088000,None,59088000,None,-4334000,None,4334000,None,None,4500000,0,8855000,2304000,4334000,6551000,6551000,13189000,13189000
SPWH,2018-05-05,USD,416428000,318145000,2379000,None,None,None,None,94809000,62568000,None,None,None,None,None,None,None,None,368951000,195605000,64012000,None,None,None,173346000,None,133110000,968000,132142000,None,None,None,47477000,None,None,428000,42834000,-9049000,3137000,None,28131000,35748000,4855000,4474000,63000,35607000,-5828000,-4474000,14133000,15232000,None,None,None,None,None,None,None,None,None,None,None,610000,None,-5828000,55566000,180059000,124493000,None,-3650000,59216000,None,59492000,None,-3557000,None,3557000,None,None,4387000,276000,-7207000,-1379000,3557000,-5828000,-5828000,-3650000,-3374000
SPWH,2018-02-03,USD,379661000,280755000,1769000,None,None,None,None,94035000,58181000,None,None,None,None,None,None,None,None,329863000,155551000,36788000,None,None,None,174312000,None,133339000,990000,132349000,None,None,None,49798000,None,None,426000,42617000,23198000,11765000,None,-32064000,-43934000,4974000,1952000,-85000,-47732000,5887000,940000,-24524000,-24030000,None,None,None,None,None,None,None,None,None,None,None,-386000,None,5887000,79664000,243165000,163501000,-365171000,16579000,63085000,None,64102000,None,-3657000,None,3657000,None,None,4313000,487000,12922000,7035000,3657000,5887000,-11855000,16579000,17066000
